Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Compare At Price
lover-heart-necklace,Lover Heart Necklace,Title,Default Title,,,,,270.00,450.00
seraphina-braid-watch-stainless-steel-18k-gold-plated,Seraphina Braid Watch| Stainless Steel| 18k gold plated,Title,Default Title,,,,,570.00,950.00
aurea-woven-luxe-watch-18k-gold-plated-stainless-steel-womens-bracelet-watch,Auréa Woven Luxe Watch – 18K Gold Plated Stainless Steel Women's Bracelet Watch,Title,Default Title,,,,,570.00,950.00
midnight-mesh-heart-bracelet-18k-gold-plated-anti-tarnish,Midnight Mesh Heart Bracelet| 18k gold plated| Anti Tarnish,Title,Default Title,,,,,330.00,550.00
crystal-snake-chain-bracelet-18k-gold-plated-anti-tarnish,Crystal Snake Chain Bracelet| 18k gold plated| Anti Tarnish,Title,Default Title,,,,,360.00,600.00
celeste-double-chain-bracelet-anti-tarnish-18k-gold-plated,Celeste Double Chain Bracelet| Anti Tarnish| 18k gold Plated,Title,Default Title,,,,,360.00,600.00
green-crystal-tennis-bracelet-for-women-waterproof-anti-tarnish,Green Crystal Tennis Bracelet for Women | Waterproof Anti Tarnish,Title,Default Title,,,,,360.00,600.00
golden-fringe-necklace,Golden Fringe Necklace,Title,Default Title,,,,,300.00,500.00
luna-heart-lariat-necklace,Luna Heart Lariat Necklace,Title,Default Title,,,,,330.00,550.00
aurora-tennis-bracelet,Aurora Tennis Bracelet,Title,Default Title,,,,,450.00,750.00
cotton-candy-tennis-bracelet,Cotton Candy Tennis Bracelet,Title,Default Title,,,,,450.00,750.00
blush-clover-charm-necklace,Blush Clover Charm Necklace,Title,Default Title,,,,,270.00,450.00
luna-owl-charm-necklace,Luna Owl Charm Necklace,Title,Default Title,,,,,270.00,450.00
ruby-blossom-bracelet,Ruby Blossom Bracelet,Title,Default Title,,,,,719.40,1199.00
rose-charm-necklace,Rosè Charm Necklace,Title,Default Title,,,,,270.00,450.00
eterna-orbit-necklace,Eterna Orbit Necklace,Title,Default Title,,,,,300.00,500.00
champagne-glow-necklace,Champagne Glow Necklace,Title,Default Title,,,,,225.00,375.00
aurum-arc-necklace,Aurum Arc Necklace,Title,Default Title,,,,,270.00,450.00
infinite-grace-necklace,Infinite Grace Necklace,Title,Default Title,,,,,270.00,450.00
flutter-grace-drop-necklace,Flutter Grace Drop Necklace,Title,Default Title,,,,,225.00,375.00
carnival-charm-necklace,Carnival Charm Necklace,Title,Default Title,,,,,300.00,500.00
adjustable-geo-heart-necklace,Adjustable Geo Heart Necklace,Title,Default Title,,,,,300.00,500.00
adjustable-clover-cascade-necklace,Adjustable Clover Cascade Necklace,Title,Default Title,,,,,270.00,450.00
celeste-pearl-cascade-necklace,Celeste Pearl Cascade Necklace,Title,Default Title,,,,,300.00,500.00
amoura-beaded-heart-necklace,Amoura Beaded Heart Necklace,Title,Default Title,,,,,270.00,450.00
hollow-heart-necklace,Hollow Heart Necklace,Title,Default Title,,,,,270.00,450.00
radiant-heart-necklace,Radiant Heart Necklace,Title,Default Title,,,,,270.00,450.00
prism-drop-choker,Prism Drop Choker,Title,Default Title,,,,,360.00,600.00
seabreeze-charm-choker,Seabreeze Charm Choker,Title,Default Title,,,,,360.00,600.00
mama-me-necklace,Mama & Me Necklace,Title,Default Title,,,,,330.00,550.00
solara-heart-pendent,Solara Heart Pendent,Title,Default Title,,,,,270.00,450.00
carnival-charm-baby-size-2-2-bangles,Carnival Charm Baby Size (2.2) Bangles,Title,Default Title,,,,,330.00,550.00
bloom-pendent-necklace,Bloom Pendent Necklace,Title,Default Title,,,,,330.00,550.00
infinity-aura-baby-bracelet,Infinity Aura Baby Bracelet,Title,Default Title,,,,,330.00,550.00
melt-muse-necklace,Melt Muse Necklace,Title,Default Title,,,,,300.00,500.00
oreo-soulmate-charm-necklace,Dog Heart Soulmate Charm Necklace,Title,Default Title,,,,,300.00,500.00
the-emerald-muse,The Emerald Muse,Title,Default Title,,,,,330.00,550.00
serpentina-luxe-chain,Serpentina Luxe Chain,Title,Default Title,,,,,330.00,550.00
golden-promise-necklace,Golden Promise Necklace,Title,Default Title,,,,,450.00,750.00
moonwave-pearl-cuff,Moonwave Pearl Cuff,Title,Default Title,,,,,600.00,1000.00
midnight-muse-italian-bracelet-watch,Midnight Muse Italian Bracelet Watch,Title,Default Title,,,,,839.40,1399.00
pearl-tide-star-studs,Pearl Tide Star Studs,Title,Default Title,,,,,330.00,550.00
ivory-muse-pearl-stud,Ivory Muse Pearl Stud,Title,Default Title,,,,,180.00,300.00
solara-radiance-drops,Solara Radiance Drops,Title,Default Title,,,,,330.00,550.00
twisted-hoops,Twisted Hoops,Title,Default Title,,,,,360.00,600.00
daisy-dazzle-hoops,Daisy Dazzle Hoops,Title,Default Title,,,,,330.00,550.00
lumiere-drop-hoops,Lumière Drop Hoops,Title,Default Title,,,,,330.00,550.00
lyra-glow-earrings,Lyra Glow Earrings,Title,Default Title,,,,,240.00,400.00
eternal-tulip-stud,Eternal Tulip Stud,Title,Default Title,,,,,330.00,550.00
verdant-bloom-studs,Verdant Bloom Studs,Title,Default Title,,,,,240.00,400.00
golden-cascade-tassel-earring,Golden Cascade Tassel Earring,Title,Default Title,,,,,360.00,600.00
cupid-s-knot-earrings,Cupid’s Knot Earrings,Title,Default Title,,,,,330.00,550.00
golden-heartbeat-studs,Golden Heartbeat Studs,Title,Default Title,,,,,330.00,550.00
pearl-reverie-stud,Pearl Reverie Stud,Title,Default Title,,,,,240.00,400.00
ophelia-spark-hoops,Ophelia Spark Hoops,Title,Default Title,,,,,330.00,550.00
infinity-glow-studs,Infinity Glow Studs,Title,Default Title,,,,,240.00,400.00
ribbon-of-grace-studs,Ribbon of Grace Studs,Title,Default Title,,,,,210.00,350.00
vienna-gold-dangles,Vienna Gold Dangles,Title,Default Title,,,,,330.00,550.00
bow-of-love-drops,Bow of Love Drops,Title,Default Title,,,,,240.00,400.00
moonlit-charm-hoops,Moonlit Charm Hoops,Title,Default Title,,,,,270.00,450.00
icon-studs,Icon Stud,Title,Default Title,,,,,240.00,400.00
rose-prism-studs,Rosè Prism Stud,Title,Default Title,,,,,390.00,650.00
candy-gem-cascade-drops,Candy Gem Cascade Drops,Title,Default Title,,,,,390.00,650.00
milano-crystal-drops,Milano Crystal Drops,Title,Default Title,,,,,390.00,650.00
emerald-envy-deops,Emerald Envy Drops,Title,Default Title,,,,,390.00,650.00
aurora-mosaic-drops,Aurora Mosaic Drops,Title,Default Title,,,,,390.00,650.00
elysian-gold-drop-statement-earrings,Elysian Gold Drop Statement Earrings,Title,Default Title,,,,,390.00,650.00
jade-romance-stud,Jade Romance Stud,Title,Default Title,,,,,210.00,350.00
nova-frame-studs,Nova Frame Stud,Title,Default Title,,,,,240.00,400.00
celeste-bow-stud,Celeste Bow Stud,Title,Default Title,,,,,270.00,450.00
cupid-s-spark-earrings,Cupid’s Spark Earrings,Title,Default Title,,,,,330.00,550.00
evil-eye-luxe-bracelet,Evil Eye Luxe Bracelet,Title,Default Title,,,,,599.40,999.00
isla-crystal-ring,Isla Crystal Ring,Title,Default Title,,,,,719.40,1199.00
halo-bloom-adjustable-ring,Halo Bloom Adjustable Ring,Title,Default Title,,,,,719.40,1199.00
premium-jewellery-hamper-box,Premium Jewellery Hamper Box,Title,Default Title,,,,,2399.40,3999.00
jewellery-gift-box,Jewellery Gift Box,Title,Default Title,,,,,719.40,1199.00
serpentina-layered-necklace,Serpentina Layered Necklace,Title,Default Title,,,,,330.00,550.00
rainbow-bagutte-stack,Rainbow bagutte adjustable stack,Title,Default Title,,,,,330.00,550.00
pearl-necklace,Pearl Necklace,Title,Default Title,,,,,240.00,400.00
bow-necklace,Bow Necklace,Title,Default Title,,,,,240.00,400.00
saagar-necklace,Ocean Necklace,Title,Default Title,,,,,270.00,450.00
teen-pari-necklace,Stella Luxe Trinity Necklace,Title,Default Title,,,,,300.00,500.00
lakeer-necklace,Lakeer Necklace,Title,Default Title,,,,,300.00,500.00
cartier-diamond-nail-studded,Love Diamond Nail Bracelet,Title,Default Title,,,,,420.00,700.00
twilight-wrap-bracelet,Twilight Wrap Bracelet,Title,Default Title,,,,,345.00,575.00
swarovski-oval-crystal-bracelet,Swarovski Oval Crystal Bracelet,Title,Default Title,,,,,540.00,900.00
golden-bloom-bracelet,Golden Bloom Bracelet,Title,Default Title,,,,,300.00,500.00
cartier-bracelet,Love Baby Size Bracelet,Title,Default Title,,,,,270.00,450.00
golden-dots-bracelet,Golden Dots Bracelet,Title,Default Title,,,,,345.00,575.00
luxe-open-cuff-bracelet,Luxe Open Cuff Bracelet,Title,Default Title,,,,,300.00,500.00
trinity-heart-bracelet,Trinity Heart Bracelet,Title,Default Title,,,,,359.40,599.00
elara-crystal-bracelet,Elara Crystal Openable Bracelet,Title,Default Title,,,,,359.40,599.00
aurora-curve-bracelet,Aurora Curve Bracelet,Title,Default Title,,,,,299.40,499.00
luxe-chain-bracelet,Luxe Chain Bracelet,Title,Default Title,,,,,359.40,599.00
ivory-clover-bracelet-18k-gold-plated-anti-tarnish,Ivory Clover Bracelet | 18K Gold Plated | Anti Tarnish,Title,Default Title,,,,,359.40,599.00
celeste-white-stone-bracelet,Celeste White Stone Bracelet,Title,Default Title,,,,,299.40,499.00
divine-glow-kada-bracelet,Divine Glow Kada Bracelet,Title,Default Title,,,,,270.00,450.00
emerald-glow-free-size-bangle,Emerald Glow Free Size Bangle,Title,Default Title,,,,,330.00,550.00
athena-bangle-bracelet,Athena Bangle Bracelet,Title,Default Title,,,,,299.40,499.00
evil-eye-protection-bracelet,Evil Eye Protection Bracelet,Title,Default Title,,,,,299.40,499.00
the-sparkling-heart-earrings,The Sparkling Heart Earrings,Title,Default Title,,,,,270.00,450.00
flower-hoops,Flower Hoops,Title,Default Title,,,,,258.00,430.00
crystal-heart-shaped-studs,Crystal heart shaped studs,Title,Default Title,,,,,270.00,450.00
pearl-heart-stud,Pearl Heart Stud,Title,Default Title,,,,,300.00,500.00
crystal-solitaire-ring,Crystal solitaire ring,Title,Default Title,,,,,210.00,350.00
heart-of-gold-hoops,Heart of Gold hoops,Title,Default Title,,,,,210.00,350.00
star-drop-earrings,Star Drop Earrings,Title,Default Title,,,,,270.00,450.00
forever-heart-tennis-bracelet,Forever Heart Tennis Bracelet,Title,Default Title,,,,,299.40,499.00
white-heart-necklace,White Heart Necklace,Title,Default Title,,,,,330.00,550.00
crystal-heart-grace-necklace,Crystal Heart Grace Necklace,Title,Default Title,,,,,240.00,400.00
solitaire-necklace,Solitaire Necklace,Title,Default Title,,,,,285.00,475.00
trinity-of-love-necklace,Trinity of Love Necklace,Title,Default Title,,,,,270.00,450.00
heart-of-gold,Heart of Gold,Title,Default Title,,,,,240.00,400.00
no-nazar-glass-bangle,No Nazar Glass Bangle,Title,Default Title,,,,,299.40,499.00
star-wood-cuff,Star wood cuff,Title,Default Title,,,,,240.00,400.00
ivory-stud-wood-cuff,Ivory Wood Cuff Bangle,Title,Default Title,,,,,330.00,550.00
bloom-sutra,Anaya Sutra,Title,Default Title,,,,,225.00,375.00
no-nazar-earrings,No Nazar Earrings,Title,Default Title,,,,,330.00,550.00
